유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호
우체국,취급국,27260,3007004,대구광역시 수성구 동대구로 222,대구범어우방취급국,1101633.388000000035390,1762100.763000000035390,053-756-7304
우체국,취급국,27260,4238078,대구광역시 수성구 달구벌대로528길 15,수성대학교우편취급국,1103552.699000000022352,1762588.314999999944121,053-749-7491
우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2611,대구만촌2동우편취급국,1103670.398999999975786,1763020.418000000063330,053-754-8384
우체국,취급국,27260,4238221,대구광역시 수성구 무학로33길 1,대구삼남우편취급국,1101857.912999999942258,1759946.097000000067055,053-762-9355
우체국,취급국,27260,3146019,대구광역시 수성구 신매로 71,대구고산1동우편취급국,1108961.412999999942258,1760614.049000000115484,053-792-5700
우체국,취급국,27260,2007002,대구광역시 수성구 달구벌대로 2903,96군사우편출장소,1106607.462999999988824,1761654.833000000100583,053-791-3999
관세,세관,27290,3007031,대구광역시 달서구 화암로 301,대구세관,1091897.294999999925494,1756954.833000000100583,053-230-5114
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1862,대구삼익신협우편취급국,1096478.557000000029802,1763219.195999999996275,053-653-7100
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1095,성서계명대학교우편취급국,1088624.325999999884516,1762335.299000000115484,053-592-1350
우체국,취급국,27290,4241324,대구광역시 달서구 성서로72길 97-10,대구성서3동우편취급국,1091484.016999999992549,1761951.168999999994412,053-583-0700
우체국,취급국,27290,2007002,대구광역시 달서구 달구벌대로 1429-5,대구와룡우편취급국,1092420.378000000026077,1761966.720999999903142,053-559-1999
우체국,취급국,27290,3147037,대구광역시 달서구 장산남로 30,대구지법서부지원출장소,1092785.387000000104308,1762323.554999999934807,053-563-2005
우체국,취급국,27290,3147009,대구광역시 달서구 상인로 9,대구상인3동우편취급국,1094980.036000000080094,1757463.355999999912456,053-642-4276
학교,중학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설중학교,1099367.458000000100583,1763446.023999999975786,053-232-8255
우체국,취급국,27290,3147016,대구광역시 달서구 성서4차첨단로 122-11,대구경북중소기업청출장소,1091632.584999999962747,1759274.036000000080094,053-659-2597
학교,중학교,27200,4232356,대구광역시 남구 현충로48길 33,경상중학교,1098005.411000000080094,1762330.838999999919906,053-234-6100
우체국,취급국,27290,3147041,대구광역시 달서구 중흥로 14,대구송현동우편취급국,1095311.402000000001863,1760056.652999999932945,053-621-3600
학교,중학교,27200,3144011,대구광역시 남구 효성로 37,경일여자중학교,1099059.199999999953434,1760544.172999999951571,053-234-9194
우체국,취급국,27710,3007019,대구광역시 달성군 다사읍 서재로 80,대구서재리우편취급국,1089994.120000000111759,1764228.058999999891967,053-585-6334
학교,중학교,27200,4232189,대구광역시 남구 성당로18길 20,경혜여자중학교,1096096.395999999949709,1761262.783999999985099,053-234-8420
학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 20,경암중학교,1094690.739000000059605,1761825.919999999925494,053-234-9100
학교,중학교,27290,4241149,대구광역시 달서구 두류남길 10,구남중학교,1096847.747999999905005,1762927.000000000000000,053-234-8816
학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건중학교,1092856.875000000000000,1760203.885000000009313,053-234-8808
학교,중학교,27290,3147005,대구광역시 달서구 도원남로 5,대곡중학교,1093289.114999999990687,1757145.083000000100583,053-234-6805
학교,중학교,27200,3141012,대구광역시 남구 대봉로 120,대구중학교,1099661.816000000108033,1762067.227999999886379,053-234-6002
학교,중학교,27200,3007012,대구광역시 남구 앞산순환로 477,대명중학교,1097250.500999999931082,1760156.324000000022352,053-234-7386
학교,중학교,27290,3007013,대구광역시 달서구 월배로 303,대서중학교,1094263.273999999975786,1759071.682999999960884,053-234-6281
학교,중학교,27290,4241166,대구광역시 달서구 미리샘길 32,도원중학교,1094414.993999999947846,1757141.621999999973923,053-234-7070
학교,중학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서중학교,1094807.107000000076368,1761609.874000000068918,053-234-9000
학교,중학교,27290,3147009,대구광역시 달서구 상인로 117,상원중학교,1094327.496000000042841,1758319.054999999934807,053-234-7734
학교,중학교,27290,3147009,대구광역시 달서구 상인로 34,상인중학교,1094871.570000000065193,1757719.050999999977648,053-234-6900
학교,중학교,27290,3147004,대구광역시 달서구 대명천로 102,성당중학교,1094665.513999999966472,1760956.429999999934807,053-234-6450
학교,중학교,27290,3147014,대구광역시 달서구 선원남로 174,성산중학교,1091976.000000000000000,1762723.192000000039116,053-234-6950
학교,중학교,27290,3147028,대구광역시 달서구 용산서로 63,성서중학교,1092695.159999999916181,1762627.097999999998137,053-234-6158
학교,중학교,27290,3147020,대구광역시 달서구 성서동로 361,성지중학교,1091620.786000000080094,1762345.087999999988824,053-234-7308
학교,중학교,27290,3147024,대구광역시 달서구 송현로 156,송현여자중학교,1094495.250000000000000,1759907.624000000068918,053-234-9300
학교,중학교,27290,3147013,대구광역시 달서구 서당로 30,신당중학교,1089967.746999999973923,1762461.875000000000000,053-234-7861
학교,중학교,27200,4232351,대구광역시 남구 현충로39길 29,심인중학교,1097373.712999999988824,1761999.800999999977648,053-234-8540
학교,중학교,27290,3147029,대구광역시 달서구 월곡로 300,영남중학교,1093612.638999999966472,1758751.293999999994412,053-234-8700
학교,중학교,27290,3147014,대구광역시 달서구 선원남로 23,와룡중학교,1090473.023999999975786,1762880.496999999973923,053-234-6675
학교,중학교,27290,4241429,대구광역시 달서구 와룡로45길 72,용산중학교,1093216.840000000083819,1762450.266999999992549,053-234-7456
관세,지소,27290,3007031,대구광역시 달서구 화암로 301,수출입기업지원센터,1091897.294999999925494,1756954.833000000100583,053-230-5114
학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 30,원화중학교,1094632.824000000022352,1761621.973999999929219,053-608-2220
학교,중학교,27290,4241479,대구광역시 달서구 월배로28길 80,월배중학교,1093245.691000000108033,1757952.223999999929219,053-234-5791
학교,중학교,27290,4241241,대구광역시 달서구 선원로37길 65,이곡중학교,1091355.425999999977648,1763312.867000000085682,053-234-7160
학교,중학교,27290,4241566,대구광역시 달서구 죽전1길 176,죽전중학교,1093810.036000000080094,1762836.493000000016764,053-234-6400
학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 10,학산중학교,1092650.604999999981374,1759921.729000000050291,053-234-6651
학교,중학교,27200,3144011,대구광역시 남구 효성로 35,협성경복중학교,1099075.230999999912456,1760374.343000000109896,053-234-8444
학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 48,효성중학교,1092882.546000000089407,1760243.510999999940395,053-234-8900
학교,중학교,27710,4244456,대구광역시 달성군 가창면 원정길 2,가창중학교,1103403.743999999947846,1753673.669999999925494,053-235-3859
학교,중학교,27710,4244682,대구광역시 달성군 옥포읍 돌미로5길 15,경서중학교,1085417.227999999886379,1754456.023999999975786,053-235-3104
학교,중학교,27710,4854702,대구광역시 달성군 구지면 국가산단대로66길 22,구지중학교,1083242.648999999975786,1740874.835999999893829,053-233-9888
학교,중학교,27710,3148011,대구광역시 달성군 논공읍 논공로 256,논공중학교,1086571.263000000035390,1747924.671000000089407,053-235-3311
학교,중학교,27710,4244206,대구광역시 달성군 다사읍 매곡로2길 8-5,다사중학교,1086271.530000000027940,1763310.766000000061467,053-235-3200
학교,중학교,27710,3000062,대구광역시 달성군 하빈면 하빈로 118,달서중학교,1083164.273999999975786,1765903.333000000100583,053-235-3900
학교,중학교,27710,4244317,대구광역시 달성군 화원읍 비슬로506길 14,달성중학교,1089749.664000000106171,1756495.378999999957159,053-235-3000
학교,중학교,27710,4244672,대구광역시 달성군 유가읍 테크노북로6길 10,포산중학교,1086863.155999999959022,1744856.570999999996275,053-235-2910
학교,중학교,27710,3007026,대구광역시 달성군 현풍읍 비슬로 675,현풍중학교,1084882.960999999893829,1745102.365999999921769,053-235-3963
학교,중학교,27710,3148031,대구광역시 달성군 화원읍 성암로 48,화원중학교,1091222.610000000102445,1756309.570999999996275,053-235-3339
학교,중학교,27110,3141001,대구광역시 중구 남산로 20,경구중학교,1097829.334999999962747,1762982.608999999938533,053-232-8900
학교,고등학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설고등학교,1099367.458000000100583,1763446.023999999975786,053-231-9400
학교,중학교,27260,4238069,대구광역시 수성구 달구벌대로504길 34,경신중학교,1102716.935000000055879,1762701.769000000087544,053-760-0100
학교,고등학교,27230,3145046,대구광역시 북구 태전로 100,강북고등학교,1093927.750000000000000,1770840.149999999906868,053-235-5951
학교,중학교,27110,3141004,대구광역시 중구 달성로 35,계성중학교,1097527.895000000018626,1764021.379999999888241,053-232-8351
학교,고등학교,27170,4229025,대구광역시 서구 국채보상로34길 50,경덕여자고등학교,1094702.027999999932945,1763509.524999999906868,053-231-7417
학교,중학교,27140,4226303,대구광역시 동구 팔공로197길 26,공산중학교,1107376.766000000061467,1773804.746999999973923,053-232-9040
학교,고등학교,27230,4235392,대구광역시 북구 칠성로17길 18,경명여자고등학교,1099164.068999999901280,1765455.091999999945983,053-235-7200
학교,중학교,27260,3146011,대구광역시 수성구 무학로 207,능인중학교,1102292.777999999932945,1760103.975000000093132,053-232-9121
학교,고등학교,27260,3146029,대구광역시 수성구 청호로 300,경북고등학교,1103096.134000000078231,1761514.371000000042841,053-231-4002
학교,중학교,27260,4238461,대구광역시 수성구 화랑로32길 74,대구동부중학교,1103293.270999999949709,1764597.825999999884516,053-232-7045
학교,고등학교,27110,3141001,대구광역시 중구 남산로 20,경북공업고등학교,1097829.334999999962747,1762982.608999999938533,053-235-8500
학교,중학교,27260,4238305,대구광역시 수성구 수성로76길 33,대구동중학교,1100760.712000000057742,1762981.291999999899417,053-232-6000
학교,고등학교,27290,3007013,대구광역시 달서구 월배로 275,경북기계공업고등학교,1094167.872999999905005,1758907.631999999983236,053-231-8322
학교,중학교,27110,4223099,대구광역시 중구 명륜로23길 16,대구제일중학교,1099045.472000000067055,1763330.242000000085682,053-232-7777
학교,고등학교,27110,2007001,대구광역시 중구 중앙대로 288,경북여자고등학교,1098614.960999999893829,1762981.754999999888241,053-231-7115
학교,중학교,27260,3007020,대구광역시 수성구 신천동로 496,대구중앙중학교,1100869.641999999992549,1763898.718000000109896,053-770-0000
학교,고등학교,27200,4232135,대구광역시 남구 명덕로38길 36,경북여자상업고등학교,1098307.702999999979511,1762591.790999999968335,053-235-9398
학교,중학교,27260,2007002,대구광역시 수성구 달구벌대로 2700,대륜중학교,1104454.097000000067055,1762342.860000000102445,053-232-8380
학교,고등학교,27200,4232314,대구광역시 남구 중앙대로47길 30,경북예술고등학교,1098274.450999999884516,1762540.622999999905005,053-235-8299
학교,중학교,27260,4238349,대구광역시 수성구 욱수길 37,덕원중학교,1108930.862999999895692,1759474.820999999996275,053-232-8560
학교,고등학교,27230,4235051,대구광역시 북구 공항로15길 24,경상고등학교,1101208.145999999949709,1767833.833000000100583,053-235-6011
학교,중학교,27260,4238186,대구광역시 수성구 들안로9길 36,덕화중학교,1100710.722000000067055,1760158.558999999891967,053-232-7786
학교,고등학교,27200,4232032,대구광역시 남구 대경길 151,경상공업고등학교,1097006.118000000016764,1761499.486999999964610,053-235-8807
학교,중학교,27260,3146029,대구광역시 수성구 청호로 350,동도중학교,1102914.222000000067055,1762032.995000000111759,053-232-7270
학교,고등학교,27230,4235416,대구광역시 북구 침산남로9길 164,경상여자고등학교,1098169.597000000067055,1767648.686999999918044,053-235-8163
학교,중학교,27260,4238468,대구광역시 수성구 효행로2길 81,동원중학교,1103907.861999999964610,1764976.013999999966472,053-232-6400
학교,고등학교,27260,4238069,대구광역시 수성구 달구벌대로504길 34,경신고등학교,1102716.935000000055879,1762701.769000000087544,053-760-0000
학교,중학교,27140,3142010,대구광역시 동구 동촌로 176,동촌중학교,1104672.047999999951571,1765712.736000000033528,053-232-6164
학교,고등학교,27290,3007027,대구광역시 달서구 새방로 77,경원고등학교,1092599.539000000106171,1763700.715000000083819,053-235-5600
학교,중학교,27260,4238370,대구광역시 수성구 지범로41길 23,범일중학교,1103407.557000000029802,1758902.054000000003725,053-232-7870
학교,고등학교,27200,3144011,대구광역시 남구 효성로 37,경일여자고등학교,1099059.199999999953434,1760544.172999999951571,053-235-7500
학교,중학교,27260,4238231,대구광역시 수성구 범안로4길 46,범물중학교,1102974.171000000089407,1758215.924000000115484,053-232-6804
학교,고등학교,27290,4241097,대구광역시 달서구 당산로30길 20,경화여자고등학교,1094690.739000000059605,1761825.919999999925494,053-235-7577
학교,중학교,27140,4226148,대구광역시 동구 방천로5길 8,불로중학교,1102375.061999999918044,1767447.877000000094995,053-232-6572
학교,고등학교,27170,3007027,대구광역시 서구 새방로 171,계성고등학교,1092834.365999999921769,1764332.983999999938533,053-235-4159
학교,중학교,27110,4223016,대구광역시 중구 국채보상로102길 48,성명여자중학교,1097865.428000000072643,1764077.868000000016764,053-254-1807~9
학교,고등학교,27290,4241149,대구광역시 달서구 두류남길 10,대구보건고등학교,1096847.747999999905005,1762927.000000000000000,053-235-9501
학교,중학교,27260,4238031,대구광역시 수성구 교학로8길 37,소선여자중학교,1103822.671000000089407,1762433.810000000055879,053-232-9502
학교,고등학교,27230,4235431,대구광역시 북구 태암남로11길 7,구암고등학교,1095016.831999999936670,1770465.935000000055879,053-231-4450
학교,중학교,27260,4238163,대구광역시 수성구 들안로32길 40,황금중학교,1101097.141000000061467,1761426.415000000037253,053-232-7955
학교,고등학교,27260,3146011,대구광역시 수성구 무학로 207,능인고등학교,1102292.777999999932945,1760103.975000000093132,053-235-4420
국세,지방국세청,27290,3007031,대구광역시 달서구 화암로 301,대구지방국세청,1091897.294999999925494,1756954.833000000100583,053-661-7120
학교,중학교,27260,4238455,대구광역시 수성구 파동로51길 26-9,수성중학교,1099978.683999999891967,1759322.520999999949709,053-232-6316
학교,고등학교,27710,2007002,대구광역시 달성군 다사읍 달구벌대로 839,다사고등학교,1086924.649999999906868,1763156.091000000014901,053-231-5002
학교,중학교,27260,3146026,대구광역시 수성구 천을로 106,매호중학교,1108575.100000000093132,1761493.743000000016764,053-232-7400
학교,고등학교,27710,3000062,대구광역시 달성군 하빈면 하빈로 118,달서고등학교,1083164.273999999975786,1765903.333000000100583,053-235-6400
학교,중학교,27260,3146019,대구광역시 수성구 신매로 66,시지중학교,1109187.854999999981374,1760564.641999999992549,053-232-6830
학교,고등학교,27170,2007002,대구광역시 서구 달구벌대로 1725,달성고등학교,1095286.368000000016764,1763001.185000000055879,053-231-4284
학교,중학교,27260,3007020,대구광역시 수성구 신천동로 364,신명여자중학교,1100149.397000000113621,1762875.368999999947846,053-232-9290
학교,고등학교,27710,4244502,대구광역시 달성군 구지면 창리로11길 93,대구소프트웨어고등학교,1082692.077000000048429,1741168.473999999929219,053-231-9226
학교,중학교,27140,3142034,대구광역시 동구 율하동로 88,신기중학교,1108548.233999999938533,1764178.810999999986961,053-232-7313
학교,고등학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건고등학교,1092856.875000000000000,1760203.885000000009313,053-235-4600
학교,중학교,27140,3142029,대구광역시 동구 안심로 237,안심중학교,1109170.837999999988824,1764029.243999999947846,053-232-6231
학교,고등학교,27200,2007001,대구광역시 남구 중앙대로 171,대구고등학교,1098305.942999999970198,1761941.405000000027940,053-231-4145
국세,세무서,27200,3144003,대구광역시 남구 대명로 55,남대구세무서,1096053.679999999934807,1760866.982000000076368,053-659-0200
학교,중학교,27140,4226333,대구광역시 동구 팔공로50길 32,영신중학교,1103430.888999999966472,1769867.892999999923632,053-232-8500
학교,고등학교,27140,3007003,대구광역시 동구 대현로 135,대구공업고등학교,1100567.365999999921769,1765753.313000000081956,053-231-8200
국세,세무서,27140,3007001,대구광역시 동구 국채보상로 895,동대구세무서,1101933.050999999977648,1764013.239000000059605,053-749-0200
학교,중학교,27260,4238073,대구광역시 수성구 달구벌대로522길 78,오성중학교,1103368.040999999968335,1762597.431000000098720,053-232-8700
학교,고등학교,27260,3007004,대구광역시 수성구 동대구로 154,대구과학고등학교,1101638.399999999906868,1761490.905000000027940,053-231-7532
국세,세무서,27230,3007022,대구광역시 북구 원대로 118,북대구세무서,1097789.145000000018626,1766240.043000000063330,053-350-4200
학교,중학교,27140,3142010,대구광역시 동구 동촌로 10,입석중학교,1103322.465000000083819,1766654.865999999921769,053-232-6940
학교,고등학교,27260,3007020,대구광역시 수성구 신천동로 364,대구남산고등학교,1100149.397000000113621,1762875.368999999947846,053-235-6450
학교,중학교,27260,4238421,대구광역시 수성구 청호로84길 123,정화중학교,1103113.098999999929219,1762032.574999999953434,053-232-9202
학교,고등학교,27290,3147044,대구광역시 달서구 학산남로 50,대구달서공업고등학교,1093825.772000000113621,1759021.939000000013039,053-231-8708
국세,세무서,27290,4241100,대구광역시 달서구 당산로38길 33,서대구세무서,1094835.081000000005588,1762447.637000000104308,053-659-1200
학교,중학교,27260,4238382,대구광역시 수성구 지산로3길 68,지산중학교,1101943.810000000055879,1759270.638000000035390,053-232-6633
학교,고등학교,27140,3142043,대구광역시 동구 효동로 48,대구일마이스터고등학교,1103552.080000000074506,1765659.037999999942258,053-231-8811
국세,세무서,27260,2007002,대구광역시 수성구 달구벌대로 2362,수성세무서,1101200.850000000093132,1763082.776000000070781,053-749-6200
학교,중학교,27140,3007001,대구광역시 동구 국채보상로 827,청구중학교,1101163.699999999953434,1764145.225000000093132,053-232-8787
학교,고등학교,27140,3142015,대구광역시 동구 반야월북로 199,대구동부고등학교,1110048.817999999970198,1764876.656999999890104,"053-235-6701,6702"
학교,중학교,27230,4235392,대구광역시 북구 칠성로17길 18,경명여자중학교,1099164.068999999901280,1765455.091999999945983,053-233-8453
학교,고등학교,27290,3007013,대구광역시 달서구 월배로 241,대구상원고등학교,1093891.206000000005588,1758854.409999999916181,053-231-6062
학교,중학교,27170,3007001,대구광역시 서구 국채보상로 384,경상여자중학교,1096939.347000000067055,1764322.950999999884516,053-233-8510
학교,고등학교,27170,4229042,대구광역시 서구 국채보상로53길 32,대구서부고등학교,1095706.554000000003725,1764638.789000000106171,053-231-4540
학교,중학교,27170,4229230,대구광역시 서구 서대구로3길 32,경운중학교,1095124.058999999891967,1763087.664000000106171,053-233-6000
학교,고등학교,27170,3143012,대구광역시 서구 당산로 228,대구서부공업고등학교,1094654.729000000050291,1762834.375000000000000,053-231-9000
학교,중학교,27170,4229130,대구광역시 서구 달서천로76길 11,경일중학교,1097152.712999999988824,1765510.529000000096858,053-233-6100
학교,고등학교,27200,4232353,대구광역시 남구 현충로40길 50,대구여자상업고등학교,1097814.932999999960884,1761929.276000000070781,053-235-9190
학교,중학교,27230,3145008,대구광역시 북구 관음동로 87,관음중학교,1094389.185999999986961,1772102.233000000007451,053-233-7151
학교,고등학교,27260,4238060,대구광역시 수성구 달구벌대로488길 17,대구여자고등학교,1102053.789000000106171,1762747.841999999945983,053-231-7300
학교,중학교,27230,4235081,대구광역시 북구 구암로22길 7,관천중학교,1094947.246000000042841,1771008.523999999975786,053-233-6771
학교,고등학교,27290,4241232,대구광역시 달서구 선원로11길 21,대구외국어고등학교,1090112.013000000035390,1763111.303000000072643,053-231-7800
학교,중학교,27230,4235067,대구광역시 북구 관음중앙로32길 15,교동중학교,1094662.111000000033528,1772425.790999999968335,053-233-6878
학교,고등학교,27260,2007002,대구광역시 수성구 달구벌대로 3170,대구농업마이스터고등학교,1108443.493000000016764,1760584.629999999888241,053-231-8014
학교,중학교,27230,3145045,대구광역시 북구 태암로 85,구암중학교,1095366.004999999888241,1770614.973999999929219,053-233-7288
학교,고등학교,27290,3147027,대구광역시 달서구 용산로 113,대구전자공업고등학교,1092989.656999999890104,1761756.147000000113621,053-231-8490
학교,중학교,27230,3007002,대구광역시 북구 공항로 50,대구북중학교,1101115.354000000050291,1767329.892999999923632,053-233-6330
학교,고등학교,27140,4226075,대구광역시 동구 동북로71길 37,대구관광고등학교,1102201.398000000044703,1766530.449999999953434,053-235-9711
학교,중학교,27230,4235293,대구광역시 북구 옥산로17길 21,대구일중학교,1097858.290999999968335,1766062.402000000001863,053-233-7500
학교,고등학교,27170,3007001,대구광역시 서구 국채보상로 384,대구제일고등학교,1096939.347000000067055,1764322.950999999884516,053-235-6802
학교,중학교,27230,3145020,대구광역시 북구 대천로 123,동평중학교,1095929.040000000037253,1771687.787000000011176,053-233-7400
학교,고등학교,27290,3147004,대구광역시 달서구 대명천로 120,대구제일여자상업고등학교,1094454.129999999888241,1760975.945000000065193,053-231-9274
학교,대학,27260,4238078,대구광역시 수성구 달구벌대로528길 15,수성대학교,1103802.966000000014901,1762689.084999999962747,053-749-7000
학교,중학교,27230,4235194,대구광역시 북구 동북로65길 28,복현중학교,1101797.514999999897555,1766957.577000000048429,053-233-6670
학교,고등학교,27260,4238022,대구광역시 수성구 교학로12길 62,대구혜화여자고등학교,1103648.922000000020489,1762075.232000000076368,053-235-8000
학교,중학교,27230,4235183,대구광역시 북구 동북로31길 29,산격중학교,1100047.655999999959022,1767867.075999999884516,053-233-7100
학교,고등학교,27260,2007002,대구광역시 수성구 달구벌대로 2700,대륜고등학교,1104375.510999999940395,1762304.034999999916181,053-756-9501
학교,중학교,27230,3145004,대구광역시 북구 검단로 150,성광중학교,1101444.793999999994412,1768475.399999999906868,053-233-8355
학교,고등학교,27230,3145009,대구광역시 북구 관음로 303-12,대중금속공업고등학교,1094957.706000000005588,1773730.952000000048429,053-235-9111
학교,중학교,27230,3145028,대구광역시 북구 복현로 140,성화중학교,1101092.101999999955297,1767979.816000000108033,053-233-8600
학교,고등학교,27260,4238349,대구광역시 수성구 욱수길 37,덕원고등학교,1108930.862999999895692,1759474.820999999996275,053-235-5346
학교,중학교,27230,4235087,대구광역시 북구 구암로49길 9,운암중학교,1096092.070000000065193,1771210.986000000033528,053-233-6983
학교,고등학교,27710,3007026,대구광역시 달성군 화원읍 비슬로 2658,대원고등학교,1090988.289000000106171,1757160.333000000100583,053-668-1000
학교,중학교,27170,4241104,대구광역시 서구 당산로41서길 97,서남중학교,1094136.764999999897555,1762769.568999999901280,053-233-7800
학교,고등학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서고등학교,1094807.107000000076368,1761609.874000000068918,053-235-9550
학교,중학교,27170,4229025,대구광역시 서구 국채보상로34길 63,중리중학교,1094931.581999999936670,1763638.729999999981374,053-233-6250
학교,고등학교,27290,3147009,대구광역시 달서구 상인로 24,상인고등학교,1094978.891000000061467,1757619.990999999921769,053-231-5160
학교,중학교,27230,2145001,대구광역시 북구 칠곡중앙대로 583,칠곡중학교,1094764.736000000033528,1772895.581000000005588,053-233-6480
학교,고등학교,27230,3145004,대구광역시 북구 검단로 150,성광고등학교,1101444.793999999994412,1768475.399999999906868,053-235-4785
학교,중학교,27230,3145043,대구광역시 북구 침산남로 121,침산중학교,1098239.347000000067055,1766490.102999999886379,053-233-6600
학교,고등학교,27290,3147015,대구광역시 달서구 선원로 221,성서고등학교,1091750.246000000042841,1763067.912999999942258,053-231-4800
