,유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호
13,학교,중학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설중학교,1099367.458,1763446.0239999997,053-232-8255
15,학교,중학교,27200,4232356,대구광역시 남구 현충로48길 33,경상중학교,1098005.411,1762330.839,053-234-6100
17,학교,중학교,27200,3144011,대구광역시 남구 효성로 37,경일여자중학교,1099059.2,1760544.1729999997,053-234-9194
19,학교,중학교,27200,4232189,대구광역시 남구 성당로18길 20,경혜여자중학교,1096096.3960000002,1761262.784,053-234-8420
20,학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 20,경암중학교,1094690.739,1761825.92,053-234-9100
21,학교,중학교,27290,4241149,대구광역시 달서구 두류남길 10,구남중학교,1096847.748,1762927.0000000002,053-234-8816
22,학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건중학교,1092856.875,1760203.8849999998,053-234-8808
23,학교,중학교,27290,3147005,대구광역시 달서구 도원남로 5,대곡중학교,1093289.115,1757145.083,053-234-6805
24,학교,중학교,27200,3141012,대구광역시 남구 대봉로 120,대구중학교,1099661.816,1762067.2279999997,053-234-6002
25,학교,중학교,27200,3007012,대구광역시 남구 앞산순환로 477,대명중학교,1097250.501,1760156.324,053-234-7386
26,학교,중학교,27290,3007013,대구광역시 달서구 월배로 303,대서중학교,1094263.274,1759071.6830000004,053-234-6281
27,학교,중학교,27290,4241166,대구광역시 달서구 미리샘길 32,도원중학교,1094414.994,1757141.622,053-234-7070
28,학교,중학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서중학교,1094807.107,1761609.874,053-234-9000
29,학교,중학교,27290,3147009,대구광역시 달서구 상인로 117,상원중학교,1094327.496,1758319.0550000004,053-234-7734
30,학교,중학교,27290,3147009,대구광역시 달서구 상인로 34,상인중학교,1094871.57,1757719.051,053-234-6900
31,학교,중학교,27290,3147004,대구광역시 달서구 대명천로 102,성당중학교,1094665.514,1760956.43,053-234-6450
32,학교,중학교,27290,3147014,대구광역시 달서구 선원남로 174,성산중학교,1091976.0,1762723.1920000003,053-234-6950
33,학교,중학교,27290,3147028,대구광역시 달서구 용산서로 63,성서중학교,1092695.16,1762627.098,053-234-6158
34,학교,중학교,27290,3147020,대구광역시 달서구 성서동로 361,성지중학교,1091620.786,1762345.088,053-234-7308
35,학교,중학교,27290,3147024,대구광역시 달서구 송현로 156,송현여자중학교,1094495.25,1759907.6239999996,053-234-9300
36,학교,중학교,27290,3147013,대구광역시 달서구 서당로 30,신당중학교,1089967.7470000002,1762461.8750000002,053-234-7861
37,학교,중학교,27200,4232351,대구광역시 남구 현충로39길 29,심인중학교,1097373.7129999998,1761999.801,053-234-8540
38,학교,중학교,27290,3147029,대구광역시 달서구 월곡로 300,영남중학교,1093612.6390000002,1758751.294,053-234-8700
39,학교,중학교,27290,3147014,대구광역시 달서구 선원남로 23,와룡중학교,1090473.024,1762880.4969999997,053-234-6675
40,학교,중학교,27290,4241429,대구광역시 달서구 와룡로45길 72,용산중학교,1093216.84,1762450.267,053-234-7456
42,학교,중학교,27290,4241097,대구광역시 달서구 당산로30길 30,원화중학교,1094632.824,1761621.974,053-608-2220
43,학교,중학교,27290,4241479,대구광역시 달서구 월배로28길 80,월배중학교,1093245.691,1757952.224,053-234-5791
44,학교,중학교,27290,4241241,대구광역시 달서구 선원로37길 65,이곡중학교,1091355.426,1763312.8670000003,053-234-7160
45,학교,중학교,27290,4241566,대구광역시 달서구 죽전1길 176,죽전중학교,1093810.0359999998,1762836.4929999998,053-234-6400
46,학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 10,학산중학교,1092650.6049999997,1759921.729,053-234-6651
47,학교,중학교,27200,3144011,대구광역시 남구 효성로 35,협성경복중학교,1099075.2310000001,1760374.343,053-234-8444
48,학교,중학교,27290,4241471,대구광역시 달서구 월곡로94길 48,효성중학교,1092882.546,1760243.511,053-234-8900
49,학교,중학교,27710,4244456,대구광역시 달성군 가창면 원정길 2,가창중학교,1103403.744,1753673.67,053-235-3859
50,학교,중학교,27710,4244682,대구광역시 달성군 옥포읍 돌미로5길 15,경서중학교,1085417.2280000001,1754456.0240000002,053-235-3104
51,학교,중학교,27710,4854702,대구광역시 달성군 구지면 국가산단대로66길 22,구지중학교,1083242.6489999997,1740874.836,053-233-9888
52,학교,중학교,27710,3148011,대구광역시 달성군 논공읍 논공로 256,논공중학교,1086571.2630000003,1747924.671,053-235-3311
53,학교,중학교,27710,4244206,대구광역시 달성군 다사읍 매곡로2길 8-5,다사중학교,1086271.53,1763310.766,053-235-3200
54,학교,중학교,27710,3000062,대구광역시 달성군 하빈면 하빈로 118,달서중학교,1083164.274,1765903.333,053-235-3900
55,학교,중학교,27710,4244317,대구광역시 달성군 화원읍 비슬로506길 14,달성중학교,1089749.664,1756495.3790000004,053-235-3000
56,학교,중학교,27710,4244672,대구광역시 달성군 유가읍 테크노북로6길 10,포산중학교,1086863.156,1744856.571,053-235-2910
57,학교,중학교,27710,3007026,대구광역시 달성군 현풍읍 비슬로 675,현풍중학교,1084882.961,1745102.366,053-235-3963
58,학교,중학교,27710,3148031,대구광역시 달성군 화원읍 성암로 48,화원중학교,1091222.61,1756309.5710000002,053-235-3339
59,학교,중학교,27110,3141001,대구광역시 중구 남산로 20,경구중학교,1097829.3350000002,1762982.6089999997,053-232-8900
61,학교,중학교,27260,4238069,대구광역시 수성구 달구벌대로504길 34,경신중학교,1102716.935,1762701.769,053-760-0100
63,학교,중학교,27110,3141004,대구광역시 중구 달성로 35,계성중학교,1097527.8950000003,1764021.38,053-232-8351
65,학교,중학교,27140,4226303,대구광역시 동구 팔공로197길 26,공산중학교,1107376.766,1773804.747,053-232-9040
67,학교,중학교,27260,3146011,대구광역시 수성구 무학로 207,능인중학교,1102292.778,1760103.975,053-232-9121
69,학교,중학교,27260,4238461,대구광역시 수성구 화랑로32길 74,대구동부중학교,1103293.2710000002,1764597.8259999997,053-232-7045
71,학교,중학교,27260,4238305,대구광역시 수성구 수성로76길 33,대구동중학교,1100760.712,1762981.2919999997,053-232-6000
73,학교,중학교,27110,4223099,대구광역시 중구 명륜로23길 16,대구제일중학교,1099045.472,1763330.242,053-232-7777
75,학교,중학교,27260,3007020,대구광역시 수성구 신천동로 496,대구중앙중학교,1100869.6420000002,1763898.718,053-770-0000
77,학교,중학교,27260,2007002,대구광역시 수성구 달구벌대로 2700,대륜중학교,1104454.0969999998,1762342.86,053-232-8380
79,학교,중학교,27260,4238349,대구광역시 수성구 욱수길 37,덕원중학교,1108930.8630000001,1759474.821,053-232-8560
81,학교,중학교,27260,4238186,대구광역시 수성구 들안로9길 36,덕화중학교,1100710.722,1760158.5589999994,053-232-7786
83,학교,중학교,27260,3146029,대구광역시 수성구 청호로 350,동도중학교,1102914.222,1762032.9950000003,053-232-7270
85,학교,중학교,27260,4238468,대구광역시 수성구 효행로2길 81,동원중학교,1103907.862,1764976.014,053-232-6400
87,학교,중학교,27140,3142010,대구광역시 동구 동촌로 176,동촌중학교,1104672.048,1765712.736,053-232-6164
89,학교,중학교,27260,4238370,대구광역시 수성구 지범로41길 23,범일중학교,1103407.557,1758902.054,053-232-7870
91,학교,중학교,27260,4238231,대구광역시 수성구 범안로4길 46,범물중학교,1102974.171,1758215.924,053-232-6804
93,학교,중학교,27140,4226148,대구광역시 동구 방천로5길 8,불로중학교,1102375.062,1767447.877,053-232-6572
95,학교,중학교,27110,4223016,대구광역시 중구 국채보상로102길 48,성명여자중학교,1097865.4279999998,1764077.868,053-254-1807~9
97,학교,중학교,27260,4238031,대구광역시 수성구 교학로8길 37,소선여자중학교,1103822.671,1762433.81,053-232-9502
99,학교,중학교,27260,4238163,대구광역시 수성구 들안로32길 40,황금중학교,1101097.141,1761426.4150000003,053-232-7955
102,학교,중학교,27260,4238455,대구광역시 수성구 파동로51길 26-9,수성중학교,1099978.6840000001,1759322.521,053-232-6316
104,학교,중학교,27260,3146026,대구광역시 수성구 천을로 106,매호중학교,1108575.1000000003,1761493.7430000002,053-232-7400
106,학교,중학교,27260,3146019,대구광역시 수성구 신매로 66,시지중학교,1109187.8550000002,1760564.642,053-232-6830
108,학교,중학교,27260,3007020,대구광역시 수성구 신천동로 364,신명여자중학교,1100149.397,1762875.369,053-232-9290
110,학교,중학교,27140,3142034,대구광역시 동구 율하동로 88,신기중학교,1108548.234,1764178.811,053-232-7313
112,학교,중학교,27140,3142029,대구광역시 동구 안심로 237,안심중학교,1109170.838,1764029.244,053-232-6231
115,학교,중학교,27140,4226333,대구광역시 동구 팔공로50길 32,영신중학교,1103430.8889999997,1769867.893,053-232-8500
118,학교,중학교,27260,4238073,대구광역시 수성구 달구벌대로522길 78,오성중학교,1103368.0409999997,1762597.431,053-232-8700
121,학교,중학교,27140,3142010,대구광역시 동구 동촌로 10,입석중학교,1103322.4649999999,1766654.866,053-232-6940
123,학교,중학교,27260,4238421,대구광역시 수성구 청호로84길 123,정화중학교,1103113.099,1762032.575,053-232-9202
126,학교,중학교,27260,4238382,대구광역시 수성구 지산로3길 68,지산중학교,1101943.81,1759270.638,053-232-6633
129,학교,중학교,27140,3007001,대구광역시 동구 국채보상로 827,청구중학교,1101163.7,1764145.225,053-232-8787
131,학교,중학교,27230,4235392,대구광역시 북구 칠성로17길 18,경명여자중학교,1099164.069,1765455.092,053-233-8453
133,학교,중학교,27170,3007001,대구광역시 서구 국채보상로 384,경상여자중학교,1096939.347,1764322.9509999997,053-233-8510
135,학교,중학교,27170,4229230,대구광역시 서구 서대구로3길 32,경운중학교,1095124.059,1763087.664,053-233-6000
137,학교,중학교,27170,4229130,대구광역시 서구 달서천로76길 11,경일중학교,1097152.7129999998,1765510.529,053-233-6100
139,학교,중학교,27230,3145008,대구광역시 북구 관음동로 87,관음중학교,1094389.186,1772102.233,053-233-7151
141,학교,중학교,27230,4235081,대구광역시 북구 구암로22길 7,관천중학교,1094947.246,1771008.524,053-233-6771
143,학교,중학교,27230,4235067,대구광역시 북구 관음중앙로32길 15,교동중학교,1094662.1110000003,1772425.791,053-233-6878
145,학교,중학교,27230,3145045,대구광역시 북구 태암로 85,구암중학교,1095366.005,1770614.974,053-233-7288
147,학교,중학교,27230,3007002,대구광역시 북구 공항로 50,대구북중학교,1101115.354,1767329.893,053-233-6330
149,학교,중학교,27230,4235293,대구광역시 북구 옥산로17길 21,대구일중학교,1097858.2910000002,1766062.402,053-233-7500
151,학교,중학교,27230,3145020,대구광역시 북구 대천로 123,동평중학교,1095929.04,1771687.787,053-233-7400
154,학교,중학교,27230,4235194,대구광역시 북구 동북로65길 28,복현중학교,1101797.515,1766957.577,053-233-6670
156,학교,중학교,27230,4235183,대구광역시 북구 동북로31길 29,산격중학교,1100047.656,1767867.076,053-233-7100
158,학교,중학교,27230,3145004,대구광역시 북구 검단로 150,성광중학교,1101444.7940000002,1768475.3999999997,053-233-8355
160,학교,중학교,27230,3145028,대구광역시 북구 복현로 140,성화중학교,1101092.102,1767979.8159999996,053-233-8600
162,학교,중학교,27230,4235087,대구광역시 북구 구암로49길 9,운암중학교,1096092.07,1771210.986,053-233-6983
164,학교,중학교,27170,4241104,대구광역시 서구 당산로41서길 97,서남중학교,1094136.765,1762769.569,053-233-7800
166,학교,중학교,27170,4229025,대구광역시 서구 국채보상로34길 63,중리중학교,1094931.582,1763638.73,053-233-6250
168,학교,중학교,27230,2145001,대구광역시 북구 칠곡중앙대로 583,칠곡중학교,1094764.736,1772895.5809999998,053-233-6480
170,학교,중학교,27230,3145043,대구광역시 북구 침산남로 121,침산중학교,1098239.347,1766490.1029999997,053-233-6600
172,학교,중학교,27230,4235211,대구광역시 북구 매천로2길 19-22,팔달중학교,1094297.1209999998,1767429.513,053-233-6910
174,학교,중학교,27170,3143010,대구광역시 서구 통학로 217,대평중학교,1095891.61,1765374.699,053-233-7903
177,학교,중학교,27170,4229043,대구광역시 서구 국채보상로55길 21,평리중학교,1095829.633,1764593.252,053-233-6170
180,학교,중학교,27230,3145050,대구광역시 북구 학남로 83,학남중학교,1096543.568,1772621.399,053-233-7777
183,학교,중학교,27260,3146026,대구광역시 수성구 천을로 71,고산중학교,1108245.4590000003,1761635.598,053-232-7510
186,학교,중학교,27290,3007027,대구광역시 달서구 새방로 32,성곡중학교,1092357.546,1763289.454,053-234-8000
189,학교,중학교,27710,4244136,대구광역시 달성군 논공읍 논공로7길 43,북동중학교,1084772.81,1748863.322,053-235-3564
192,학교,중학교,27710,4244365,대구광역시 달성군 다사읍 서재로26길 18,서재중학교,1090220.432,1764542.86,053-235-3491
195,학교,중학교,27140,3142011,대구광역시 동구 동호로 112,강동중학교,1110998.1000000003,1764074.1409999996,053-232-7615
198,학교,중학교,27230,4235236,대구광역시 북구 서변로21길 14,서변중학교,1098843.5560000003,1770520.578,053-233-8171
201,학교,중학교,27230,3145013,대구광역시 북구 구암서로 27,강북중학교,1096052.682,1771858.683,053-233-8071
204,학교,중학교,27230,4235173,대구광역시 북구 동변로14길 12,동변중학교,1099749.36,1769742.57,053-233-8000
206,학교,중학교,27710,3148032,대구광역시 달성군 화원읍 성천로 202,천내중학교,1090658.3369999998,1757453.345,053-235-3675
208,학교,중학교,27260,3146018,대구광역시 수성구 시지로 66,노변중학교,1107868.1150000002,1760832.4310000003,(053)232-8046
210,학교,중학교,27290,4241635,대구광역시 달서구 화암로73길 7,대진중학교,1092113.838,1757065.426,053-234-8050
212,학교,중학교,27290,4241483,대구광역시 달서구 월배로33길 105,월서중학교,1092729.334,1758621.077,053-234-8160
214,학교,중학교,27230,3145026,대구광역시 북구 매전로 56,매천중학교,1094513.7129999998,1768724.1029999997,053-233-8241
216,학교,중학교,27710,3148027,대구광역시 달성군 다사읍 대실역북로 83,왕선중학교,1087245.262,1763399.14,053-235-3765
218,학교,중학교,27140,3142034,대구광역시 동구 율하동로 20,율원중학교,1108511.329,1763426.098,053-232-8200
220,학교,중학교,27290,3147040,대구광역시 달서구 조암로 59,조암중학교,1092504.984,1759008.2049999996,053-234-9321
222,학교,중학교,27140,3142050,대구광역시 동구 이노밸리로 255,새론중학교,1110585.624,1765425.0480000004,053-233-5801
224,학교,중학교,27290,4241565,대구광역시 달서구 조암로6길 33,월암중학교,1092475.995,1759447.348,053-234-8280
226,학교,중학교,27230,4235342,대구광역시 북구 칠곡중앙대로136길 29,대구체육중학교,1095383.534,1774081.284,053-233-8700
228,학교,중학교,27290,3147004,대구광역시 달서구 대명천로 167,새본리중학교,1094011.4089999998,1760823.5169999998,053-234-7666
230,학교,중학교,27230,3145055,대구광역시 북구 내곡로 140,사수중학교,1091670.741,1767491.785,053-233-8770
232,학교,중학교,27710,4244650,대구광역시 달성군 유가읍 테크노대로5길 20,유가중학교,1087552.732,1744306.626,053-235-2750
234,학교,중학교,27140,4226219,대구광역시 동구 아양로39길 30,신아중학교,1102432.254,1766333.162,053-232-7130
236,학교,중학교,27710,4244498,대구광역시 달성군 현풍읍 지동길 31,한울안중학교,1084245.2600000002,1741813.888,053-233-9970
239,학교,중학교,27710,4244358,대구광역시 달성군 다사읍 서재로12길 11-11,서동중학교,1089997.152,1763910.932,053-233-9810
241,학교,중학교,27170,4229181,대구광역시 서구 북비산로45길 7,서대구중학교,1095370.4230000002,1765376.217,532337872
60,학교,고등학교,27110,2007002,대구광역시 중구 달구벌대로 2178,경북대학교사범대학부설고등학교,1099367.458,1763446.0239999997,053-231-9400
62,학교,고등학교,27230,3145046,대구광역시 북구 태전로 100,강북고등학교,1093927.75,1770840.15,053-235-5951
64,학교,고등학교,27170,4229025,대구광역시 서구 국채보상로34길 50,경덕여자고등학교,1094702.0280000002,1763509.525,053-231-7417
66,학교,고등학교,27230,4235392,대구광역시 북구 칠성로17길 18,경명여자고등학교,1099164.069,1765455.092,053-235-7200
68,학교,고등학교,27260,3146029,대구광역시 수성구 청호로 300,경북고등학교,1103096.134,1761514.3710000003,053-231-4002
70,학교,고등학교,27110,3141001,대구광역시 중구 남산로 20,경북공업고등학교,1097829.3350000002,1762982.6089999997,053-235-8500
72,학교,고등학교,27290,3007013,대구광역시 달서구 월배로 275,경북기계공업고등학교,1094167.873,1758907.632,053-231-8322
74,학교,고등학교,27110,2007001,대구광역시 중구 중앙대로 288,경북여자고등학교,1098614.961,1762981.7549999997,053-231-7115
76,학교,고등학교,27200,4232135,대구광역시 남구 명덕로38길 36,경북여자상업고등학교,1098307.7030000002,1762591.7910000002,053-235-9398
78,학교,고등학교,27200,4232314,대구광역시 남구 중앙대로47길 30,경북예술고등학교,1098274.4510000001,1762540.6230000004,053-235-8299
80,학교,고등학교,27230,4235051,대구광역시 북구 공항로15길 24,경상고등학교,1101208.146,1767833.833,053-235-6011
82,학교,고등학교,27200,4232032,대구광역시 남구 대경길 151,경상공업고등학교,1097006.118,1761499.487,053-235-8807
84,학교,고등학교,27230,4235416,대구광역시 북구 침산남로9길 164,경상여자고등학교,1098169.5969999998,1767648.6870000004,053-235-8163
86,학교,고등학교,27260,4238069,대구광역시 수성구 달구벌대로504길 34,경신고등학교,1102716.935,1762701.769,053-760-0000
88,학교,고등학교,27290,3007027,대구광역시 달서구 새방로 77,경원고등학교,1092599.539,1763700.715,053-235-5600
90,학교,고등학교,27200,3144011,대구광역시 남구 효성로 37,경일여자고등학교,1099059.2,1760544.1729999997,053-235-7500
92,학교,고등학교,27290,4241097,대구광역시 달서구 당산로30길 20,경화여자고등학교,1094690.739,1761825.92,053-235-7577
94,학교,고등학교,27170,3007027,대구광역시 서구 새방로 171,계성고등학교,1092834.366,1764332.9840000004,053-235-4159
96,학교,고등학교,27290,4241149,대구광역시 달서구 두류남길 10,대구보건고등학교,1096847.748,1762927.0000000002,053-235-9501
98,학교,고등학교,27230,4235431,대구광역시 북구 태암남로11길 7,구암고등학교,1095016.832,1770465.9350000003,053-231-4450
100,학교,고등학교,27260,3146011,대구광역시 수성구 무학로 207,능인고등학교,1102292.778,1760103.975,053-235-4420
103,학교,고등학교,27710,2007002,대구광역시 달성군 다사읍 달구벌대로 839,다사고등학교,1086924.65,1763156.091,053-231-5002
105,학교,고등학교,27710,3000062,대구광역시 달성군 하빈면 하빈로 118,달서고등학교,1083164.274,1765903.333,053-235-6400
107,학교,고등학교,27170,2007002,대구광역시 서구 달구벌대로 1725,달성고등학교,1095286.368,1763001.185,053-231-4284
109,학교,고등학교,27710,4244502,대구광역시 달성군 구지면 창리로11길 93,대구소프트웨어고등학교,1082692.0769999998,1741168.474,053-231-9226
111,학교,고등학교,27290,4241471,대구광역시 달서구 월곡로94길 46,대건고등학교,1092856.875,1760203.8849999998,053-235-4600
113,학교,고등학교,27200,2007001,대구광역시 남구 중앙대로 171,대구고등학교,1098305.9430000002,1761941.4049999998,053-231-4145
116,학교,고등학교,27140,3007003,대구광역시 동구 대현로 135,대구공업고등학교,1100567.366,1765753.313,053-231-8200
119,학교,고등학교,27260,3007004,대구광역시 수성구 동대구로 154,대구과학고등학교,1101638.4,1761490.905,053-231-7532
122,학교,고등학교,27260,3007020,대구광역시 수성구 신천동로 364,대구남산고등학교,1100149.397,1762875.369,053-235-6450
124,학교,고등학교,27290,3147044,대구광역시 달서구 학산남로 50,대구달서공업고등학교,1093825.772,1759021.9390000002,053-231-8708
127,학교,고등학교,27140,3142043,대구광역시 동구 효동로 48,대구일마이스터고등학교,1103552.08,1765659.038,053-231-8811
130,학교,고등학교,27140,3142015,대구광역시 동구 반야월북로 199,대구동부고등학교,1110048.818,1764876.6569999997,"053-235-6701,6702"
132,학교,고등학교,27290,3007013,대구광역시 달서구 월배로 241,대구상원고등학교,1093891.206,1758854.41,053-231-6062
134,학교,고등학교,27170,4229042,대구광역시 서구 국채보상로53길 32,대구서부고등학교,1095706.554,1764638.789,053-231-4540
136,학교,고등학교,27170,3143012,대구광역시 서구 당산로 228,대구서부공업고등학교,1094654.7289999998,1762834.375,053-231-9000
138,학교,고등학교,27200,4232353,대구광역시 남구 현충로40길 50,대구여자상업고등학교,1097814.933,1761929.276,053-235-9190
140,학교,고등학교,27260,4238060,대구광역시 수성구 달구벌대로488길 17,대구여자고등학교,1102053.7889999999,1762747.842,053-231-7300
142,학교,고등학교,27290,4241232,대구광역시 달서구 선원로11길 21,대구외국어고등학교,1090112.0129999998,1763111.303,053-231-7800
144,학교,고등학교,27260,2007002,대구광역시 수성구 달구벌대로 3170,대구농업마이스터고등학교,1108443.493,1760584.6299999997,053-231-8014
146,학교,고등학교,27290,3147027,대구광역시 달서구 용산로 113,대구전자공업고등학교,1092989.657,1761756.1470000003,053-231-8490
148,학교,고등학교,27140,4226075,대구광역시 동구 동북로71길 37,대구관광고등학교,1102201.398,1766530.45,053-235-9711
150,학교,고등학교,27170,3007001,대구광역시 서구 국채보상로 384,대구제일고등학교,1096939.347,1764322.9509999997,053-235-6802
152,학교,고등학교,27290,3147004,대구광역시 달서구 대명천로 120,대구제일여자상업고등학교,1094454.13,1760975.945,053-231-9274
155,학교,고등학교,27260,4238022,대구광역시 수성구 교학로12길 62,대구혜화여자고등학교,1103648.922,1762075.232,053-235-8000
157,학교,고등학교,27260,2007002,대구광역시 수성구 달구벌대로 2700,대륜고등학교,1104375.5110000002,1762304.0350000004,053-756-9501
159,학교,고등학교,27230,3145009,대구광역시 북구 관음로 303-12,대중금속공업고등학교,1094957.706,1773730.9519999996,053-235-9111
161,학교,고등학교,27260,4238349,대구광역시 수성구 욱수길 37,덕원고등학교,1108930.8630000001,1759474.821,053-235-5346
163,학교,고등학교,27710,3007026,대구광역시 달성군 화원읍 비슬로 2658,대원고등학교,1090988.2889999999,1757160.3329999996,053-668-1000
165,학교,고등학교,27290,3147026,대구광역시 달서구 야외음악당로 107,상서고등학교,1094807.107,1761609.874,053-235-9550
167,학교,고등학교,27290,3147009,대구광역시 달서구 상인로 24,상인고등학교,1094978.891,1757619.991,053-231-5160
169,학교,고등학교,27230,3145004,대구광역시 북구 검단로 150,성광고등학교,1101444.7940000002,1768475.3999999997,053-235-4785
171,학교,고등학교,27290,3147015,대구광역시 달서구 선원로 221,성서고등학교,1091750.246,1763067.913,053-231-4800
173,학교,고등학교,27230,3145028,대구광역시 북구 복현로 140,성화여자고등학교,1101092.102,1767979.8159999996,053-235-7680
175,학교,고등학교,27290,3147024,대구광역시 달서구 송현로 156,송현여자고등학교,1094495.25,1759907.6239999996,053-235-7800
178,학교,고등학교,27260,3146019,대구광역시 수성구 신매로 6,시지고등학교,1109054.7070000002,1759966.3390000004,053-231-4680
181,학교,고등학교,27110,4223016,대구광역시 중구 국채보상로102길 48,신명고등학교,1097865.4279999998,1764077.868,053-720-1840
184,학교,고등학교,27200,4232351,대구광역시 남구 현충로39길 29,심인고등학교,1097373.7129999998,1761999.801,053-235-5050
187,학교,고등학교,27290,3147029,대구광역시 달서구 월곡로 300,영남고등학교,1093612.6390000002,1758751.294,053-235-4000
190,학교,고등학교,27260,3146004,대구광역시 수성구 교학로 96,영남공업고등학교,1103569.4710000001,1761928.725,053-235-8600
193,학교,고등학교,27230,3145046,대구광역시 북구 태전로 92,영송여자고등학교,1093984.4040000003,1770761.801,053-235-8170
196,학교,고등학교,27140,4226333,대구광역시 동구 팔공로50길 32,영신고등학교,1103430.8889999997,1769867.893,053-235-4700
199,학교,고등학교,27230,4235191,대구광역시 북구 동북로57길 9,영진고등학교,1101270.11,1767017.26,053-235-5500
202,학교,고등학교,27260,4238073,대구광역시 수성구 달구벌대로522길 78,오성고등학교,1103368.0409999997,1762597.431,053-235-5200
205,학교,고등학교,27290,4241238,대구광역시 달서구 선원로23북길 20,와룡고등학교,1090618.717,1763223.618,053-231-5030
207,학교,고등학교,27230,3145052,대구광역시 북구 학정로 378,운암고등학교,1095949.169,1771873.639,053-231-5350
209,학교,고등학교,27290,4241097,대구광역시 달서구 당산로30길 30,원화여자고등학교,1094632.824,1761621.974,053-235-7101
211,학교,고등학교,27140,4226257,대구광역시 동구 용계로1길 49,정동고등학교,1107679.638,1765120.108,053-235-5800
213,학교,고등학교,27260,4238421,대구광역시 수성구 청호로84길 123,정화여자고등학교,1103113.099,1762032.575,053-235-7311
215,학교,고등학교,27140,3142022,대구광역시 동구 신덕로 136-11,조일고등학교,1107815.9209999999,1765713.8390000004,053-235-9000
217,학교,고등학교,27260,3007020,대구광역시 수성구 신천동로 496,대구중앙고등학교,1100869.6420000002,1763898.718,053-790-0000
219,학교,고등학교,27140,3007001,대구광역시 동구 국채보상로 827,청구고등학교,1101163.7,1764145.225,053-235-5000
221,학교,고등학교,27710,3007026,대구광역시 달성군 현풍읍 비슬로 556-13,포산고등학교,1085770.5310000002,1744255.134,053-231-5310
223,학교,고등학교,27710,3007026,대구광역시 달성군 현풍읍 비슬로 675,현풍고등학교,1084882.961,1745102.366,053-235-6249
225,학교,고등학교,27200,3144011,대구광역시 남구 효성로 33,협성고등학교,1099220.11,1760367.206,053-235-6166
227,학교,고등학교,27710,3007026,대구광역시 달성군 화원읍 비슬로 2458,화원고등학교,1089388.896,1756092.898,053-231-5462
229,학교,고등학교,27290,4241471,대구광역시 달서구 월곡로94길 48,효성여자고등학교,1092882.546,1760243.511,053-235-7000
231,학교,고등학교,27230,4235342,대구광역시 북구 칠곡중앙대로136길 29,대구체육고등학교,1095383.534,1774081.284,053-231-7900
233,학교,고등학교,27290,3147005,대구광역시 달서구 도원남로 80,대곡고등학교,1093682.675,1756805.856,053-231-5668
235,학교,고등학교,27290,4241222,대구광역시 달서구 새방로7길 33,성산고등학교,1092095.678,1763334.704,053-231-5700
237,학교,고등학교,27230,3145050,대구광역시 북구 학남로 78,학남고등학교,1096428.5110000002,1772704.159,053-231-5870
240,학교,고등학교,27290,4241166,대구광역시 달서구 미리샘길 52,도원고등학교,1094460.133,1757040.3350000004,053-231-6000
242,학교,고등학교,27140,3142003,대구광역시 동구 금강로 65,강동고등학교,1111012.0030000003,1763964.4080000003,053-231-6310
243,학교,고등학교,27260,3146032,대구광역시 수성구 효행로 17,동문고등학교,1103902.218,1765135.732,053-231-6200
244,학교,고등학교,27140,4226350,대구광역시 동구 팔공산로2길 16,달구벌고등학교,1100124.034,1778098.2889999996,053-235-9845
246,학교,고등학교,27260,4238335,대구광역시 수성구 용학로28길 36,수성고등학교,1101668.5980000002,1758895.9969999997,053-231-6430
248,학교,고등학교,27290,4241635,대구광역시 달서구 화암로73길 15,대진고등학교,1092006.935,1757061.2769999998,053-231-6592
249,학교,고등학교,27230,3145026,대구광역시 북구 매전로 70,매천고등학교,1094510.182,1768828.153,053-231-6700
250,학교,고등학교,27230,4235484,대구광역시 북구 학정로48길 46,함지고등학교,1095666.9849999999,1770648.062,053-231-6840
251,학교,고등학교,27290,4241078,대구광역시 달서구 달서대로109길 86,호산고등학교,1088657.624,1761836.7849999997,053-231-7100
252,학교,고등학교,27230,3145041,대구광역시 북구 칠성로 13,칠성고등학교,1098502.4649999999,1765441.286,053-231-6910
253,학교,고등학교,27140,3000052,대구광역시 동구 경안로 987,대구일과학고등학교,1110359.278,1766242.026,053-231-7700
254,학교,고등학교,27710,3341005,대구광역시 달성군 현풍읍 테크노북로 100,비슬고등학교,1086366.5150000001,1744781.154,053-231-9700
